1442377334515261,1831,-63,49,49
1442377334525391,1831,-63,49,49
1442377334535477,1833,-66,45,49
1442377334545615,1833,-66,45,49
1442377334555733,1833,-66,45,49
1442377334565826,1833,-66,45,50
1442377334575907,1833,-65,44,50
1442377334586029,1833,-65,44,51
1442377334596158,1832,-63,45,51
1442377334606296,1832,-63,46,51
1442377334616430,1832,-63,46,51
1442377334626547,1835,-62,47,51
1442377334636664,1835,-62,47,51
1442377334646769,1835,-61,47,51
1442377334656896,1835,-61,47,51
1442377334667015,1834,-59,48,51
1442377334677128,1831,-57,50,51
1442377334687236,1831,-57,50,52
1442377334697371,1831,-57,50,52
1442377334707480,1827,-45,58,52
1442377334717603,1827,-45,58,52
1442377334727704,1826,-37,68,52
1442377334737833,1826,-37,68,53
1442377334747933,1827,-40,65,53
1442377334758061,1829,-45,61,53
1442377334768172,1829,-45,61,53
1442377334778306,1830,-49,54,53
1442377334788440,1830,-49,54,53
1442377334798546,1830,-47,54,53
1442377334808660,1830,-47,54,53
1442377334818776,1830,-47,54,53
1442377334829027,1830,-47,54,54
1442377334839148,1830,-47,54,54
1442377334849262,1830,-44,56,54
1442377334859379,1830,-43,57,54
1442377334869498,1830,-43,57,54
1442377334879627,1829,-42,58,54
1442377334889716,1829,-42,58,54
1442377334899833,1829,-40,58,54
1442377334909939,1829,-40,58,55
1442377334920057,1829,-40,58,55
1442377334930176,1828,-38,59,55
1442377334940280,1828,-37,59,55
1442377334950400,1828,-37,59,55
1442377334960502,1828,-37,59,55
1442377334970608,1827,-33,62,55
1442377334980691,1826,-28,65,55
1442377334990784,1826,-28,65,55
1442377335000911,1825,-24,71,55
1442377335011009,1825,-23,71,55
1442377335021133,1825,-23,71,54
1442377335031237,1827,-31,65,54
1442377335041372,1827,-31,65,55
1442377335051473,1828,-36,60,55
1442377335061575,1828,-36,60,55
1442377335071671,1828,-40,57,55
1442377335081772,1828,-40,57,56
1442377335091879,1826,-34,62,56
1442377335102000,1826,-34,62,55
1442377335112126,1826,-28,62,55
1442377335122229,1826,-28,62,54
1442377335132307,1826,-27,63,54
1442377335142416,1826,-27,63,54
1442377335152528,1826,-26,63,54
1442377335162671,1826,-26,63,54
1442377335172815,1826,-24,62,54
1442377335182929,1826,-24,62,55
1442377335193031,1826,-24,62,55
1442377335203145,1826,-24,62,54
1442377335213257,1826,-24,62,54
1442377335223413,1826,-23,63,55
1442377335233511,1826,-22,62,55
1442377335243645,1826,-22,62,54
1442377335253899,1826,-22,62,54
1442377335264125,1826,-22,62,53
1442377335274281,1827,-25,60,53
1442377335284404,1827,-25,60,54
1442377335294521,1826,-20,62,54
1442377335307323,1826,-19,61,54
1442377335317434,1826,-19,61,54
1442377335327534,1826,-19,61,54
1442377335337619,1826,-19,62,54
1442377335347713,1826,-19,62,53
1442377335357823,1826,-17,64,53
1442377335367912,1826,-17,64,52
1442377335378040,1825,-10,66,52
1442377335388155,1825,-6,65,52
1442377335398272,1825,-6,65,53
1442377335408381,1825,-11,61,53
1442377335418492,1825,-11,61,53
1442377335428591,1827,-23,54,53
1442377335438692,1827,-23,54,53
1442377335448795,1827,-23,54,53
1442377335458916,1827,-23,54,53
1442377335469044,1828,-37,53,53
1442377335479156,1827,-24,60,53
1442377335489363,1827,-24,60,54
1442377335499491,1825,-9,62,54
1442377335509611,1825,-9,62,53
1442377335519728,1825,-10,60,53
1442377335529819,1825,-10,60,53
1442377335539906,1825,-10,60,52
1442377335550025,1826,-20,54,52
1442377335560138,1826,-20,54,52
1442377335570254,1826,-20,54,52
1442377335580343,1826,-20,54,52
1442377335590440,1826,-19,51,52
1442377335600548,1826,-19,50,52
1442377335610639,1826,-19,50,52
1442377335620752,1826,-27,50,52
1442377335630854,1826,-27,50,52
1442377335640930,1826,-27,50,51
1442377335651030,1826,-27,50,51
1442377335661144,1826,-27,50,52
1442377335671290,1825,-20,54,52
1442377335681414,1825,-20,54,53
1442377335691522,1824,-6,55,53
1442377335701612,1824,-6,55,53
1442377335711711,1825,-9,53,53
1442377335721838,1825,-9,53,52
1442377335731941,1825,-19,48,52
1442377335742017,1825,-19,48,52
1442377335752115,1826,-21,46,52
